URN,NOS Title,Skills extracted
CFAPSU003,"Contribute to the preparation of a specification for the procurement of goods, services or works",
CFAPSU010,Monitoring and review the effectiveness of the tendering and contracting process,Management; Promote; Cost; Risk assessment
CFAPSU019,Capture and analyse data for expenditure and financial control in procurement and supply.,Sustainability; Promote; Pricing; Cost; Financial control
CFAPSU031,"Promote and deliver the organisational strategy and plan for the sustainable sourcing of goods, services or works",Promote; Supplier review; Adoption
CFAREC3,Attract and maintain relationships with job‐seekers,
CFAREC5,Match job‐seekers with suitable vacancies,Promote; Identify opportunity; Application process
CFAREC7,Review job-seekers’ progress and close vacancies,Financial transaction; Manage feedback; Smooth; Recruiting
CFASAA111,Manage and store your own information,Information sharing; Interpersonal skill; Database
CFASAA212,Manage your own contacts,Interpersonal skill; Cost; Sort
CFASAA411,Plan and organise your own meetings,Comment; Interpersonal skill; Cost
CFASAA421,Manage own diary and travel arrangements,Interpersonal skill; Cost; Travel arrangement
CFASAL021,"Ensure compliance with legal, regulatory and ethical requirements",Corporate governance; Sales; Compliance
CFASMC2.2V3.0,Manage complaints and criticisms about social marketing programmes,Management; Promote; Medium relations; Risk management; Initiative; Politics; Risk assessment; Social marketing; Listen actively; Vision
CFASPA3,Administer statutory parking and traffic appeals,Acting; Interpersonal skill; Listening; Refund; Revocation
CFAUC5,Support and contribute to the policy-making processes of the union,Prepare report; Consultation method; Requirement analysis
CFAUE1,Choosing your business enterprise,
CFAUE5,Winning help and support,
CFAUE6,Planning for success,
CFAYS7,Balance your business and personal life,Typesetting; Ironing; French; Marketing; Bookkeeping; Cleaning
SKSP16,Co-ordinate production resources – kit and equipment,Shipping; Film stock; Booking; Production process; Schedule
COGBLO2,Prepare pipelines and hoses within bulk liquid operations,Typography; Instruction; Tank; People work; Schedule
COGBLO5,Establish and maintain safe and effective working relationships within bulk liquid operations,Permit; Disciplinary procedure; Instruction; People work; Schedule
COGBLO6,Contribute to the safety of bulk liquid operations,Medical assistance; Environmental legislation; Instruction; Risk assessment; People work; Schedule
COGC6,Establish and maintain relationships with visitors to the working environment,Permit; Instruction; Schedule
COGER10,Maintain a state of readiness to respond to emergencies,Inert gas; Breathing apparatus; Hazard identification
COGER12,Control and mitigate the effects of the incident,Coupling; Instruction; Dutch
COGER14,Prepare for emergencies,Management; Deck; Installation; Breathing apparatus
COGER22,Minimise loss to helicopter and platform structure,Coupling; Dutch; Cleaning
COGER23,Travel safely by helicopter to an offshore installation,Substance abuse; Training; Instruction; Layer; Installation
COGER8,Assess the incident,Permitting; Panel; Instruction; Well control; Installation
COGER9,Execute the emergency response plan,Permit; Progress report; Teamwork; Breathing apparatus
COGFO1,Contribute to health and safety within the fuel dispensing area,Instruction; Hair; Petroleum; First aid; Emergency shutdown; Risk assessment; Cleaning; Emergency services; Schedule
COGFO5,Process payments for purchases within the forecourt environment,Management; Transporting; Pricing; Instruction; Food; Sales; Calculation; Transaction; Fault; Packaging; Schedule
COGFPSO2,Start up marine operations,Permit; Parameter; Ballast; Instruction; Tank; Inert gas; Steady state; Schedule
COGFPSO37,"Conform to the statutory, general health and safety requirements for fpso/fsus",Instruction; Installation; First aid; Schedule
COGFPSO5,Perform shutdown activities for marine operations,Permit; Ballast; Instruction; Inert gas; Schedule
COGH2S1,Prepare to perform work in a toxic or non-life supporting atmosphere,Permit; Instruction; Consumables; Breathing apparatus; Risk assessment; Fault; Repair
COGH2S2,Perform work in a toxic or non-life supporting atmosphere,Permit; Instruction; Breathing apparatus; Risk assessment; Fault
COGH2S3,Supervising work in a toxic or non-life supporting atmosphere,Permit; Instruction; Consumables; Breathing apparatus; Risk assessment; Fault; Repair
COGIRMI01,Determine the existence of a suitable technical procedure for ionising radiation measurement instrumentation,Instrumentation; Audit; Calibration; Ionising radiation; Repair
COGIRMI02,Develop technical procedure for ionising radiation measurement instrumentation,Instrumentation; Cost; Audit; Calibration; Ionising radiation
COGIRMI04,Plan and manage the test and examination of ionising radiation measurement instrumentation,Management; Instrumentation; Cost; Ionising radiation; Test equipment
COGIRMI05,Carry out tests and examinations of ionising radiation measurement instrumentation,Instrumentation; Cost; Ionising radiation; Test equipment
COGIRMI07,Calibrate ionising radiation measurement instrumentation,Parameter; Instrumentation; Derive; Consumables; Calibration; Ionising radiation
COGIRMI09,Undertake radiation-related work activities,Radiation protection; Template; Information systems; Composite
COGIRMI12,Carry out maintenance of ionising radiation measurement instrumentation,Instrumentation; Ionising radiation; Compliance
COGIRMI13,Carry out complex repairs of ionising radiation measurement instrumentation,Instrumentation; Cost; Ionising radiation; Configuration management; Fault; Repair
COGIRMI14,Carry out repairs of ionising radiation measurement instrumentation,Instrumentation; Ionising radiation; Configuration management; Fault; Repair
COGJO10,Take samples in jetty operations,Jetty; Tank; Composite; Storage
COGJO11,Take measurements and perform calculations of product in jetty operations,Jetty; Tank; Calculation; Storage
COGJO3,Contribute to the transfer of product in jetty operations,Jetty; Maximum; Tank; Storage
COGJO5,Contribute to maintenance operations in jetty operations,Jetty; Parameter; Storage; People work
COGLS1,Maintain health and safety in life sciences related work activities,Storage; Good clinical practice gcp; Transport
COGLS15,Improve product(s) and process quality within life sciences related work activities,History; Instruction; Information systems; Impact assessment
COGLS18,Manage business processes for life sciences related work activities,Parameter; Cost; Timeline; Benefit analysis; Business process
COGLS20,Analyse and interpret data for life sciences,Cost; Timeline; Report writing
COGLS201,Follow health and safety procedures in life sciences and related industries,Instruction; Biological material; Lighting; Consumables; Storage; Scheme; Transport
COGLS203,Use information recording systems in life sciences and related industries,Information systems; Database; Laboratory information management system lims; Recruit
COGLS207,Demonstrate techniques and skills in life sciences and related industries,Parameter; Training; Instruction; Recruit
COGLS208,Prepare for and clearing up after a learning activity in a class room or a life sciences and related industries area,Consumables; Reagent; Risk assessment; Fault; Cleaning; Recruit
COGLS210,Provide support for learning activities in life sciences and related industries,Promote; Instruction; Instruct; Recruit
COGLS211,"Prepare new methods, resources and equipment for learning activities in life sciences and related industries",Cost; Risk assessment; Recruit
COGLS213,Preparing biological specimens or samples for investigations in life sciences and related industries,Request form; Storage; Sorting; Biopsy; Packaging; Transport; Recruit
COGLS216,Operating in a clean room or aseptic facility in life sciences and related industries,Aseptic; Contact lens; Consumables; Recruit
COGLS301,Maintain health and safety in life sciences and related industries,Parameter; Instruction; Biological material; Lighting; Consumables; Storage; Scheme; Transport; Recruit
COGLS303,Plan and collect samples for testing in life sciences and related industries,Make decision; Collect sample; Packaging; Transport
COGLS305,Provide technical advice and guidance in life sciences and related industries,Aseptic; Parameter; Instruction; Identify opportunity
COGLS306,Carry out investigation in life sciences and related industries,Acting; Parameter; Instruction
COGLS309,Make presentations in the work place for life sciences and related industries,Parameter; Instruction; Cost
COGLS319,Develop and maintain health and safety procedures in life sciences and related industries,Parameter; Instruction; Lighting; Storage; Risk assessment; Scheme; Transport
COGLS321,Carry out risk assessments in life sciences and related industries,Parameter; Hazard identification; Risk assessment
COGLS4,Assure quality processes and procedures for life sciences related work activities,
COGLS9,Make presentations for life sciences related work activities,
COGMP3,Establish and maintain effective working relationships in the measurement processes environment,Permit; Instruction; Schedule
