,data-driven keywords,expert-driven keywords,intersection of data- and expert-driven keywords,data-driven only keywords
apparel manufacturing technology,"['garment' 'pattern' 'fabric' 'piece' 'construction' 'lay' 'market'
 'block' 'machine' 'rule' 'manufacturing' 'figuration' 'sample' 'cad'
 'candidate' 'supplier' 'preproduction' 'import' 'trend' 'export']","['apparel', 'materials', 'fashion', 'manufacturing', 'pattern', 'production', 'sampling', 'lay', 'planning', 'fabric', 'material', 'design', 'manufacture', 'garment', 'fitting', 'measurement', 'computer', 'aided', 'cad', 'cam']","['lay', 'fabric', 'garment', 'manufacturing', 'cad', 'pattern']","['export', 'market', 'supplier', 'figuration', 'rule', 'machine', 'candidate', 'preproduction', 'trend', 'block', 'import', 'sample', 'piece', 'construction']"
apparel manufacturing technologykey wordsapparel,"['garment' 'lay' 'pattern' 'ratio' 'grain' 'piece' 'fabric' 'allowance'
 'station' 'zip' 'sizing' 'label' 'file' 'exemption' 'exhibit' 'exception'
 'excess' 'exchange' 'exchanger' 'excise']","['apparel', 'garment', 'specification', 'product', 'data', 'management', 'pdm', 'cad', 'cam']",['garment'],"['station', 'fabric', 'zip', 'exemption', 'exchanger', 'exhibit', 'excise', 'label', 'piece', 'exception', 'lay', 'grain', 'file', 'excess', 'pattern', 'exchange', 'allowance', 'sizing', 'ratio']"
applied waterproof membranes construction,"['cosvr' 'gutter' 'fire' 'pour' 'edge' 'torch' 'occupation' 'vent' 'cap'
 'outlet' 'roll' 'layer' 'extinguisher' 'ppe' 'operative' 'subtraction'
 'install' 'contract' 'multiplication' 'height']","['builtup', 'roofing', 'pour', 'roll', 'torchon', 'bitumenboilers', 'torches', 'gas', 'burners', 'kerbs', 'gutters', 'felts', 'pedestrian', 'surface', 'supply', 'insulation']","['pour', 'roll']","['cap', 'edge', 'install', 'layer', 'vent', 'subtraction', 'outlet', 'multiplication', 'torch', 'occupation', 'height', 'gutter', 'extinguisher', 'ppe', 'operative', 'cosvr', 'fire', 'contract']"
aquaculture,"['shellfish' 'fish' 'hatchery' 'predator' 'spat' 'farm' 'egg' 'specie'
 'pest' 'feeding' 'treatment' 'stocking' 'purification' 'mortality'
 'welfare' 'escape' 'regime' 'feed' 'collection' 'containment']","['fish', 'holding', 'units', 'shellfish', 'spat', 'repair', 'aquaculture', 'aquatic', 'production', 'fishery', 'health', 'eggs', 'hatchery', 'transport', 'feeding', 'depuration', 'safety', 'pests', 'predators', 'vertebrate']","['shellfish', 'hatchery', 'fish', 'spat', 'feeding']","['purification', 'specie', 'pest', 'welfare', 'predator', 'mortality', 'farm', 'feed', 'escape', 'stocking', 'egg', 'treatment', 'containment', 'collection', 'regime']"
archaeological practice,"['archaeologist' 'conservation' 'project' 'investigation' 'research'
 'community' 'collection' 'user' 'audience' 'proposal' 'acquisition'
 'interpretation' 'interest' 'loan' 'heritage' 'archaeology' 'contract'
 'marketing' 'learning' 'brief']","['archaeological', 'practice', 'archaeology', 'heritage', 'resources', 'conservation', 'investigations', 'information', 'systems', 'material', 'remains', 'collections', 'archaological', 'health', 'safety', 'performance', 'management', 'planning', 'project', 'disaster']","['archaeology', 'project', 'conservation', 'heritage']","['community', 'audience', 'acquisition', 'proposal', 'loan', 'research', 'interpretation', 'user', 'archaeologist', 'interest', 'brief', 'marketing', 'collection', 'learning', 'contract', 'investigation']"
armourers,"['weapon' 'ammunition' 'film' 'workshop' 'television' 'misfire' 'cast'
 'crew' 'script' 'space' 'discharge' 'department' 'budget' 'transport'
 'transportation' 'explosive' 'choreography' 'tv' 'visualisation'
 'protocol']","['armourers', 'weapons', 'explosives', 'transport', 'issue', 'return', 'regulated', 'materials', 'misfires', 'negligent', 'discharges', 'breakdown', 'budget', 'film', 'television', 'production']","['budget', 'television', 'transport', 'film']","['space', 'department', 'protocol', 'visualisation', 'weapon', 'ammunition', 'discharge', 'tv', 'misfire', 'cast', 'explosive', 'script', 'workshop', 'transportation', 'choreography', 'crew']"
asbestos,"['asbestos' 'project' 'synthesis' 'survey' 'sample' 'presence' 'calibrate'
 'output' 'stakeholder' 'observation' 'surveying' 'mitigating' 'bulk'
 'integrity' 'air' 'contingency' 'measurement' 'investigation' 'asset'
 'adjust']","['asbestos', 'bulk', 'analysis', 'surveying', 'clearance', 'testing', 'condition', 'survey', 'air', 'monitoring', 'sampling', 'test', 'data', 'present', 'processs', 'drawings', 'graphical', 'personal', 'development']","['air', 'bulk', 'asbestos', 'survey', 'surveying']","['observation', 'asset', 'project', 'measurement', 'presence', 'output', 'integrity', 'mitigating', 'stakeholder', 'calibrate', 'adjust', 'investigation', 'sample', 'synthesis', 'contingency']"
asbestos surveying and analysis,"['asbestos' 'surveying' 'survey' 'mitigating' 'tender' 'synthesis'
 'goodwill' 'air' 'finding' 'clearance' 'trust' 'integrity' 'reduction'
 'proposal' 'project' 'photograph' 'judgment' 'offer' 'presence' 'asset']","['asbestos', 'condition', 'survey', 'surveying', 'bulk', 'sampling', 'analysis', 'air', 'monitoring', 'test', 'data', 'process', 'criteria', 'risk', 'advice', 'personal', 'development', 'disputes', 'working', 'relationships']","['survey', 'surveying', 'air', 'asbestos']","['asset', 'project', 'goodwill', 'presence', 'judgment', 'mitigating', 'tender', 'proposal', 'integrity', 'trust', 'reduction', 'photograph', 'offer', 'clearance', 'finding', 'synthesis']"
associated industrial services occupations construction,"['fire' 'occupation' 'cosvr' 'ppe' 'ceiling' 'wall' 'repair' 'spray'
 'ductwork' 'water' 'height' 'cavity' 'surface' 'door' 'steel' 'accident'
 'stone' 'install' 'masonry' 'interpretation']","['cleaning', 'systems', 'stone', 'firerated', 'brush', 'spray', 'car', 'park', 'ducts', 'kitchen', 'extraction', 'smoke', 'ventilation', 'fire', 'barriers', 'firebarriers', 'loadbearing', 'insulation', 'protection', 'naturalstone']","['stone', 'spray', 'fire']","['wall', 'steel', 'ceiling', 'install', 'accident', 'masonry', 'water', 'ductwork', 'repair', 'door', 'occupation', 'interpretation', 'height', 'surface', 'ppe', 'cavity', 'cosvr']"
auto electrical and mobile electrical installation,"['vehicle' 'enhancement' 'fault' 'rectification' 'testing' 'repair'
 'motor' 'delay' 'lock' 'device' 'resistance' 'voltage' 'correction'
 'installation' 'alternator' 'replacement' 'circuit' 'scoping'
 'consultation' 'fitting']","['correct', 'motor', 'vehicle', 'electrical', 'faults', 'install', 'system', 'enhancements', 'repair', 'overhaul', 'units', 'diagnose', 'rectify', 'unit', 'component', 'identify', 'security', 'installation', 'customers', 'environment']","['installation', 'repair', 'motor', 'vehicle']","['testing', 'circuit', 'lock', 'resistance', 'fitting', 'alternator', 'voltage', 'fault', 'device', 'correction', 'rectification', 'delay', 'scoping', 'consultation', 'replacement', 'enhancement']"
automated bakery,"['dough' 'bakery' 'ingredient' 'wrapping' 'food' 'contamination'
 'weighing' 'baking' 'freezing' 'processing' 'division' 'moulding'
 'shaping' 'proving' 'cooling' 'cooler' 'machinery' 'cross' 'manufacture'
 'oven']","['control', 'fermented', 'dough', 'automated', 'bakery', 'baker', 'preparation', 'nonfermented', 'baking', 'plant', 'processes', 'unfermented', 'bread', 'food', 'drink', 'cooling', 'ingredients', 'products', 'wrapping', 'labelling']","['baking', 'dough', 'food', 'cooling', 'bakery', 'wrapping']","['machinery', 'weighing', 'proving', 'moulding', 'manufacture', 'cooler', 'contamination', 'oven', 'cross', 'ingredient', 'shaping', 'freezing', 'division', 'processing']"
automated baking,"['dough' 'baking' 'bake' 'proving' 'bakery' 'cooler' 'cooling' 'oven'
 'ingredient' 'tin' 'post' 'mixing' 'contamination' 'tray' 'weight'
 'unload' 'see' 'injector' 'start' 'damper']","['automated', 'baking', 'plant', 'processes', 'prove', 'dough', 'fermented', 'products', 'food', 'drink', 'bread', 'unfermented', 'prebake', 'preparation', 'mix', 'ingredients', 'oven', 'ovenbake', 'ovenbaking', 'cooler']","['baking', 'cooler', 'dough', 'oven']","['weight', 'proving', 'tin', 'bakery', 'cooling', 'contamination', 'ingredient', 'see', 'injector', 'damper', 'start', 'bake', 'post', 'tray', 'mixing', 'unload']"
automotive engineering suite 3,"['vehicle' 'motorsport' 'assembly' 'moulding' 'engine' 'leisure'
 'installation' 'machine' 'cable' 'fastener' 'resin' 'prototype' 'loom'
 'refitting' 'sub' 'panel' 'welding' 'repair' 'pipework' 'trimming']","['engineering', 'automotive', 'manufacturing', 'assembling', 'front', 'vehicle', 'system', 'components', 'door', 'composite', 'equipment', 'vehicles', 'motorsport', 'leisure', 'caravan', 'motor', 'home', 'demountable', '5th', 'wheeler']","['motorsport', 'leisure', 'vehicle']","['trimming', 'machine', 'assembly', 'fastener', 'repair', 'refitting', 'prototype', 'installation', 'welding', 'cable', 'sub', 'panel', 'loom', 'engine', 'pipework', 'resin', 'moulding']"
automotive glazing,"['glass' 'glazing' 'vehicle' 'installation' 'candidate' 'payment' 'treat'
 'learner' 'rectification' 'repair' 'restrict' 'inaccurate' 'bring'
 'mentee' 'visitor' 'variation' 'grievance' 'panel' 'impression'
 'attention']","['glass', 'automotive', 'glazing', 'cars', 'vans', 'mobile', 'plant', 'buses', 'coaches', 'nonstructural', 'body', 'panels', 'met', 'mechanical', 'electrical', 'trim', 'security', 'processing', 'installation', 'template']","['installation', 'glazing', 'glass']","['inaccurate', 'learner', 'mentee', 'impression', 'treat', 'variation', 'repair', 'visitor', 'payment', 'panel', 'restrict', 'rectification', 'candidate', 'vehicle', 'attention', 'grievance', 'bring']"
aviation ground security operations,"['aviation' 'passenger' 'aircraft' 'element' 'rule' 'screening' 'trainee'
 'irregularity' 'show' 'conflict' 'search' 'visitor' 'suite' 'diversity'
 'pplrpto' 'disability' 'pplrs' 'duty' 'language' 'equality']","['security', 'movement', 'barrier', 'customer', 'vehicle', 'secure', 'hazard', 'emergency', 'aviation', 'screening', 'incident', 'access', 'documents', 'physical', 'search', 'prohibited', 'suspect', 'diversity', 'service', 'supervise']","['screening', 'diversity', 'search', 'aviation']","['trainee', 'rule', 'element', 'disability', 'visitor', 'passenger', 'suite', 'equality', 'duty', 'conflict', 'pplrpto', 'show', 'language', 'pplrs', 'aircraft', 'irregularity']"
aviation operations in the air cabin crew,"['passenger' 'cabin' 'crew' 'flight' 'aircraft' 'gap' 'cash' 'trolley'
 'airport' 'drink' 'promise' 'coaching' 'institute' 'discus' 'career'
 'breach' 'element' 'somebody' 'aid' 'analyse']","['cabin', 'crew', 'airlines', 'health', 'safety', 'passengers', 'emergencies', 'evacuation', 'security', 'inflight', 'equipment', 'customer', 'service', 'assistance', 'communications', 'team', 'performance', 'aircraft', 'management', 'leadership']","['aircraft', 'cabin', 'crew']","['analyse', 'coaching', 'airport', 'drink', 'element', 'institute', 'breach', 'flight', 'aid', 'passenger', 'career', 'gap', 'discus', 'promise', 'cash', 'somebody', 'trolley']"
aviation operations on the ground,"['aircraft' 'airport' 'aviation' 'flight' 'passenger' 'ground' 'baggage'
 'load' 'caa' 'runway' 'surface' 'sector' 'serviceability' 'airline'
 'apron' 'traffic' 'leadership' 'incident' 'vehicle' 'weather']","['safety', 'security', 'emergency', 'airport', 'hazards', 'aviation', 'airside', 'aircraft', 'information', 'equipment', 'maintenance', 'airfield', 'systems', 'passengers', 'flight', 'control', 'weather', 'plan', 'operations', 'aerodrome']","['airport', 'aviation', 'flight', 'weather', 'aircraft']","['leadership', 'passenger', 'serviceability', 'caa', 'runway', 'apron', 'incident', 'vehicle', 'surface', 'sector', 'load', 'ground', 'airline', 'traffic', 'baggage']"
balanced sourcing and new product development,"['textile' 'project' 'vendor' 'portfolio' 'execution' 'fashion'
 'fundamental' 'outsourcing' 'engineer' 'manger' 'calibration' 'success'
 'undertaking' 'idea' 'forecasting' 'sourcing' 'proposal' 'scoring'
 'manufacturing' 'apparel']","['portfolio', 'management', 'balanced', 'sourcing', 'new', 'product', 'development', 'fashion', 'textiles', 'project', 'calibration', 'evaluation', 'assessment', 'execution', 'outsourcing', 'proposals', 'costs', 'manage']","['sourcing', 'project', 'execution', 'outsourcing', 'calibration', 'fashion', 'portfolio']","['undertaking', 'forecasting', 'fundamental', 'scoring', 'vendor', 'manufacturing', 'success', 'apparel', 'engineer', 'proposal', 'textile', 'manger', 'idea']"
bank accounts,"['till' 'transaction' 'bank' 'laundering' 'counter' 'enquiry' 'money'
 'currency' 'organisational' 'fund' 'transfer' 'payment' 'banking' 'cash'
 'administration' 'discrepancy' 'error' 'society' 'contract' 'middle']","['information', 'financial', 'documentation', 'responsibility', 'monitor', 'errors', 'discrepancies', 'authority', 'funds', 'cash', 'levels', 'transactions', 'denominations', 'security', 'money', 'laundering', 'data', 'protection', 'charges', 'teamwork']","['money', 'laundering', 'cash']","['transfer', 'fund', 'middle', 'banking', 'till', 'payment', 'organisational', 'currency', 'enquiry', 'error', 'bank', 'counter', 'society', 'administration', 'transaction', 'discrepancy', 'contract']"
barbering,"['hair' 'salon' 'shaving' 'look' 'beard' 'moustache' 'outline' 'shape'
 'barbering' 'skin' 'stylist' 'colouring' 'towel' 'colour' 'razor'
 'clipper' 'massage' 'pattern' 'cut' 'lightening']","['shaving', 'assisting', 'SKACB1', 'Assist', 'services', 'men', 'barbering', 'Hair', 'cutting', 'SKACB2', 'Cut', 'hair', 'using', 'basic', 'techniques', 'Cutting', 'facial', 'shape', 'creating', '3d']","['shape', 'hair', 'shaving', 'barbering']","['clipper', 'look', 'outline', 'skin', 'lightening', 'salon', 'towel', 'stylist', 'razor', 'cut', 'beard', 'colour', 'pattern', 'colouring', 'moustache', 'massage']"
barbering 2008,"['hair' 'salon' 'massage' 'look' 'skin' 'shaving' 'beard' 'shape'
 'clipper' 'cut' 'moustache' 'towel' 'colouring' 'infection' 'razor'
 'stylist' 'styling' 'cross' 'drying' 'aftercare']","['barbering', 'shaving', 'assisting', 'colouring', 'men', 'hair', 'cutting', 'facial', 'shape', 'techniques', 'drying', 'finishing', 'SKAGB6', 'Provide', 'services', 'design', 'creating', 'face', 'massage']","['massage', 'drying', 'colouring', 'hair', 'shaving', 'shape']","['stylist', 'clipper', 'cut', 'razor', 'beard', 'infection', 'look', 'cross', 'skin', 'moustache', 'aftercare', 'styling', 'salon', 'towel']"
beauty therapy,"['treatment' 'skin' 'hair' 'nail' 'massage' 'spa' 'performer' 'indication'
 'beauty' 'salon' 'camouflage' 'lash' 'eyebrow' 'make' 'appearance'
 'muscle' 'lobe' 'laser' 'growth' 'eye']","['therapy', 'hair', 'products', 'treatments', 'design', 'makeup', 'skin', 'camouflage', 'nail', 'piercing', 'spa', 'body', 'massage', 'equipment', 'facial', 'electrical', 'techniques', 'intimate', 'waxing', 'flotation']","['massage', 'nail', 'spa', 'skin', 'hair', 'camouflage']","['performer', 'make', 'lobe', 'eyebrow', 'beauty', 'lash', 'treatment', 'indication', 'appearance', 'muscle', 'eye', 'salon', 'laser', 'growth']"
beauty therapy 2009,"['treatment' 'skin' 'massage' 'salon' 'hair' 'camouflage' 'waxing'
 'indication' 'lobe' 'venue' 'tanning' 'airbrush' 'hygiene' 'epilation'
 'stone' 'threading' 'muscle' 'look' 'intimate' 'fashion']","['plan', 'improving', 'work', 'waxing', 'treatments', 'facial', 'skin', 'application', 'products', 'makeup', 'face', 'body', 'techniques', 'care', 'massage', 'providing', 'oils', 'treatment', 'removal', 'hair']","['waxing', 'treatment', 'skin', 'hair', 'massage']","['threading', 'muscle', 'camouflage', 'epilation', 'lobe', 'intimate', 'hygiene', 'look', 'venue', 'tanning', 'fashion', 'indication', 'stone', 'airbrush', 'salon']"
beauty therapy advanced practices,"['treatment' 'skin' 'laser' 'pigment' 'peel' 'radio' 'pigmentation'
 'expectation' 'frequency' 'hair' 'light' 'imperfection' 'course' 'tattoo'
 'feel' 'photo' 'acid' 'implantation' 'ambience' 'mature']","['skin', 'cosmetic', 'radio', 'frequency', 'electrotherapy', 'beauty', 'therapy', 'monopolar', 'bipolar', 'improvements', 'peel', 'needling', 'micropigmentation', 'semipermanent', 'makeup', 'laser', 'systems', 'hair', 'intense', 'light']","['radio', 'skin', 'light', 'frequency', 'peel', 'hair', 'laser']","['imperfection', 'implantation', 'tattoo', 'pigment', 'mature', 'photo', 'acid', 'expectation', 'ambience', 'pigmentation', 'course', 'treatment', 'feel']"
