,Avg group similarity,NOS 1,NOS 2
Pair 110,0.985,"[semaut3-128] ""Preparing lpg pipework and appliances for installation into leisure vehicles"" (""semaut3128.pdf"", Current, Original)","[ska128] ""Preparing lpg pipework and appliances for installation into leisure vehicles"" (""ska128.pdf"", Current, Original)"
Pair 111,0.985,"[sfhrt18] ""Carry out non-routine modifications to custom made devices"" (""sfhrt18.pdf"", Current, Original)","[sfhrt9] ""Carry out routine modifications to custom made devices"" (""sfhrt9.pdf"", Current, Original)"
Pair 112,0.985,"[semet307] ""Assembling vacuum forming tools"" (""semet307.pdf"", Current, Original)","[semet7] ""Assembling vacuum forming tools"" (""semet7.pdf"", Current, Original)"
Pair 113,0.985,"[fspbcrm01] ""Manage your own performance, personal development and banking industry awareness"" (""fspbcrm01.pdf"", Current, Original)","[fspits01] ""Manage your own performance, personal development and insurance industry awareness"" (""fspits01.pdf"", Current, Original)"
Pair 114,0.985,"[semmpao3-12] ""Melt metal for casting semi-finished products"" (""semmpao312.pdf"", Current, Original)","[semmpf213] ""Melting metal for casting"" (""semmpf213.pdf"", Current, Original)"
Pair 115,0.985,"[semaut3-125] ""Operating cnc wood routing and sawing machines"" (""semaut3125.pdf"", Current, Original)","[ska125] ""Operating cnc wood routing and sawing machines"" (""ska125.pdf"", Current, Original)"
Pair 116,0.985,"[sfj za11] ""Ensure organisational compliance with data protection legislation"" (""sfjza11 (2).pdf"", Current, Original)","[sfj za11] ""Ensure organisational compliance with data protection legislation"" (""sfjza11.pdf"", Current, Original)"
Pair 117,0.985,"[semaut3-120] ""Completing the construction of a leisure vehicle by installing windows, doors and body graphics"" (""semaut3120.pdf"", Current, Original)","[ska120] ""Completing the construction of a leisure vehicle by installing windows, doors and body graphics"" (""ska120.pdf"", Current, Original)"
Pair 118,0.985,"[sfjcps9.5] ""Appraise the feasibility of proposals for policies, projects and"" (""sfjcps9.5.pdf"", Current, Tailored)","[sfjpsg5.1.1] ""Appraise the feasibility of proposals for policies, projects and programmes in the public sector"" (""sfjpsg5.1.1.pdf"", Current, Original)"
Pair 119,0.985,"[eusfes35] ""Make sure your own actions reduce risks to health and safety"" (""make-sure-your-own-actions-reduce-risks-to-health-and-safety-eusfes35.pdf"", Current, Original)","[euswo35] ""Make sure your own actions reduce risks to health and safety"" (""make-sure-your-own-actions-reduce-risks-to-health-and-safety-euswo35.pdf"", Current, Original)"
Pair 120,0.985,"[o64nstl1] ""Provide support for learning activities"" (""o64nstl1.pdf"", Current, Original)","[tdastl1] ""Provide support for learning activities"" (""tdastl1.pdf"", Current, Original)"
Pair 121,0.985,"[semet334] ""Assembling jigs and fixtures using mechanical methods"" (""semet334.pdf"", Current, Original)","[semet34] ""Assembling jigs and fixtures using mechanical methods"" (""semet34.pdf"", Current, Original)"
Pair 122,0.985,"[coglata3-04] ""Assess and communicate scientific or technical information to authorised personnel"" (""assess-and-communicate-scientific-or-technical-information-to-authorised-personnel-coglata3-04.pdf"", Current, Original)","[coglata3-04] ""Assess and communicate scientific or technical information to authorised personnel"" (""coglata3-04.pdf"", Current, Original)"
Pair 123,0.985,"[eusence15] ""Investigate incidents relating to electricity network assets"" (""eusence15.pdf"", Current, Original)","[eusgnem28] ""Investigate incidents relating to utility network assets"" (""eusgnem28.pdf"", Current, Original)"
Pair 124,0.985,"[cfabs2] ""Monitor the quality and use of supplies and equipment in your business"" (""cfabs2.pdf"", Current, Original)","[euswm68l] ""Monitor the quality and use of supplies and equipment in your business legacy"" (""euswm68.pdf"", Legacy, Imported)"
Pair 125,0.985,"[eusmunc26] ""Install gas engineering products or assets above 355mm"" (""eusmunc26.pdf"", Current, Original)","[eusmunc27] ""Install gas engineering products or assets above 180mm up to and including 355mm"" (""eusmunc27.pdf"", Current, Original)"
Pair 126,0.985,"[semet306] ""Assembling blow mould tools"" (""semet306.pdf"", Current, Original)","[semet6] ""Assembling blow mould tools"" (""semet6.pdf"", Current, Original)"
Pair 127,0.985,"[coglata2-16] ""Follow aseptic procedures in the laboratory environment"" (""coglata2-16.pdf"", Current, Original)","[coglata2-16] ""Follow aseptic procedures in the laboratory environment"" (""follow-aseptic-procedures-in-the-laboratory-environment-coglata2-16.pdf"", Current, Original)"
Pair 128,0.985,"[procc14] ""Decorate ceramic and associated products by surface alteration "" (""procc14.pdf"", Current, Original)","[promc21] ""Decorate ceramic and associated products by surface alteration"" (""promc21.pdf"", Current, Original)"
Pair 129,0.985,"[impft102k] ""Principles of human food nutrition"" (""impft102k.pdf"", Current, Original)","[impft102k] ""Principles of human food nutrition"" (""impft102kl.pdf"", Legacy, Original)"
Pair 130,0.985,"[astea3] ""Conduct site visits to inspect property and provide initial energy advice to clients"" (""astea3.pdf"", Current, Original)","[astndea3] ""Conduct site visits to inspect property and provide initial advice to clients"" (""astndea3.pdf"", Current, Original)"
Pair 131,0.985,"[eusence9] ""Specify methods and procedures to operate and maintain electricity network assets"" (""eusence9.pdf"", Current, Original)","[eusgnem15] ""Specify methods and procedures to operate and maintain utility network assets"" (""eusgnem15.pdf"", Current, Original)"
Pair 132,0.985,"[sfjcchf16a] ""Manage information for action"" (""sfjcchf16a.pdf"", Current, Imported)","[sfjcchf16] ""Manage information for action - legacy"" (""sfjcchf16l.pdf"", Legacy, Imported)"
Pair 133,0.985,"[sfhci.a ] ""Produce conventional radiographic images for diagnostic purposes"" (""produce-conventional-radiographic-images-for-diagnostic-purposes-sfhci.pdf"", Current, Original)","[sfhci.a ] ""Produce conventional radiographic images for diagnostic purposes"" (""sfhci.a .pdf"", Current, Original)"
Pair 134,0.985,"[eusfes37] ""Use and maintain equipment and machines in the  waste industry"" (""use-and-maintain-equipment-and-machines-in-the--waste-industry-eusfes37.pdf"", Current, Original)","[euswo37] ""Use and maintain equipment and machines in the  waste industry"" (""use-and-maintain-equipment-and-machines-in-the--waste-industry-euswo37.pdf"", Current, Original)"
Pair 135,0.985,"[sfhci.n] ""Produce forensic images of children for  signs of suspected physical abuse "" (""produce-forensic-images-of-children-for--signs-of-suspected-physical-abuse--sfhci.pdf"", Current, Original)","[sfhci.n] ""Produce forensic images of children for  signs of suspected physical abuse "" (""sfhci.n.pdf"", Current, Original)"
Pair 136,0.985,"[semet30] ""Carrying out planned maintenance on power presses"" (""semet30.pdf"", Current, Original)","[semet330] ""Carrying out planned maintenance on power presses"" (""semet330.pdf"", Current, Original)"
Pair 137,0.985,"[semet305] ""Assembling injection mould tools"" (""semet305.pdf"", Current, Original)","[semet5] ""Assembling injection mould tools"" (""semet5.pdf"", Current, Original)"
Pair 138,0.98,"[impft103k] ""Principles of a balanced diet in food technology"" (""impft103k.pdf"", Current, Original)","[impft103k] ""Principles of a balanced diet in food technology"" (""impft103kl.pdf"", Legacy, Original)"
Pair 139,0.98,"[impft104k] ""Principles of food science in food technology"" (""impft104k.pdf"", Current, Original)","[impft104k] ""Principles of food science in food technology"" (""impft104kl.pdf"", Legacy, Original)"
Pair 140,0.98,"[fspaml9] ""Report progress in securing effective anti-money laundering and countering terrorist financing outcomes in your organisation"" (""fspaml9.pdf"", Current, Original)","[fspaml9] ""Report progress in securing effective anti-money laundering and countering terrorist financing outcomes in your organisation  "" (""report-progress-in-securing-effective-anti-money-laundering-and-countering-terrorist-financing-outcomes-fspaml9.pdf"", Current, Original)"
Pair 141,0.98,"[langa17] ""Manage the incubation of game bird eggs legacy"" (""langa17l.pdf"", Legacy, Original)","[langa17v1l] ""Manage the incubation of gamebird eggs(legacy)"" (""langa17v1l.pdf"", Legacy, Original)"
Pair 142,0.98,"[fspaml15] ""Consider and advise on the money laundering and terrorist financing implications of new business strategies at your organisation   "" (""consider-and-advise-on-the-money-laundering-and-terrorist-financing-implications-of-new-business-strategies-fspaml15.pdf"", Current, Original)","[fspaml15] ""Consider and advise on the money laundering and terrorist financing implications of new business strategies at your organisation"" (""fspaml15.pdf"", Current, Original)"
Pair 143,0.98,"[lanem7] ""Environmental auditing"" (""lanem7.pdf"", Current, Original)","[prompr63] ""Environmental auditing"" (""prompr63.pdf"", Current, Original)"
Pair 144,0.98,"[sksamt1] ""Research markets, materials and styles"" (""sksamt1.pdf"", Current, Original)","[sksamt20] ""Oversee the quality of sample production"" (""sksamt20.pdf"", Current, Original)"
Pair 145,0.98,"[semet28] ""Carrying out condition monitoring of mould, press tool or die equipment"" (""semet28.pdf"", Current, Original)","[semet328] ""Carrying out condition monitoring of mould, press tool or die equipment"" (""semet328.pdf"", Current, Original)"
Pair 146,0.98,"[semic345] ""Commissioning escalator installations"" (""semic345.pdf"", Current, Original)","[semic45] ""Commissioning escalator installations"" (""semic45.pdf"", Current, Original)"
Pair 147,0.98,"[semic341] ""Checking and setting lift installations"" (""semic341.pdf"", Current, Original)","[semic41] ""Checking and setting lift installations"" (""semic41.pdf"", Current, Original)"
Pair 148,0.98,"[sfskr53] ""Make premises secure and complete keyholding attendances"" (""sfskr53.pdf"", Current, Original)","[sfskr53l] ""Make premises secure and complete keyholding attendances legacy"" (""sfskr53l.pdf"", Legacy, Original)"
Pair 149,0.98,"[semet29] ""Carrying out planned maintenance on mould, press tool or die equipment"" (""semet29.pdf"", Current, Original)","[semet329] ""Carrying out planned maintenance on mould, press tool or die equipment"" (""semet329.pdf"", Current, Original)"
Pair 150,0.98,"[semet12] ""Checking that toolroom assemblies comply with specification"" (""semet12.pdf"", Current, Original)","[semet312] ""Checking that toolroom assemblies comply with specification"" (""semet312.pdf"", Current, Original)"
Pair 151,0.98,"[impft150k] ""Principles of canning in food technology"" (""impft150k.pdf"", Current, Original)","[impft150k] ""Principles of canning in food technology"" (""impft150kl.pdf"", Legacy, Original)"
Pair 152,0.98,"[sfjcps9.6] ""Evaluate policies, projects and programmes in the public sector"" (""sfjcps9.6.pdf"", Current, Tailored)","[sfjpsg5.1.2] ""Evaluate policies, projects and programmes in the public sector"" (""sfjpsg5.1.2.pdf"", Current, Original)"
Pair 153,0.98,"[fspaml20] ""Report suspicious financial activity to enforcement authorities"" (""fspaml20.pdf"", Current, Original)","[fspaml20] ""Report suspicious financial activity to enforcement authorities    "" (""report-suspicious-financial-activity-to-enforcement-authorities-----fspaml20.pdf"", Current, Original)"
Pair 154,0.98,"[fspaml13] ""Advise and guide staff in your organisation on anti-money laundering and countering terrorist financing  "" (""advise-and-guide-staff-in-your-organisation-on-anti-money-laundering-and-countering-terrorist-financing-fspaml13.pdf"", Current, Original)","[fspaml13] ""Advise and guide staff in your organisation on anti-money laundering and countering terrorist financing"" (""fspaml13.pdf"", Current, Original)"
Pair 155,0.98,"[fspaml1] ""Develop a compliance culture within your organisation "" (""develop-a-compliance-culture-within-your-organisation--fspaml1.pdf"", Current, Original)","[fspaml1] ""Develop a compliance culture within your organisation"" (""fspaml1.pdf"", Current, Original)"
Pair 156,0.98,"[cfacsd4] ""Support customers using on-line customer services"" (""cfacsd4.pdf"", Current, Original)","[sfjccdb1.2] ""Support customers using online customer service"" (""sfjccdb1.2.pdf"", Current, Tailored)"
Pair 157,0.98,"[sfjodps2.3.10] ""Evaluate the effectiveness of the operational delivery business process"" (""sfjodps2.3.10.pdf"", Current, Original)","[sfjpe1.3] ""Evaluate the effectiveness of the operational delivery business process"" (""sfjpe1.3.pdf"", Current, Original)"
Pair 158,0.98,"[semet26] ""Maintaining mould, press tool or die equipment"" (""semet26.pdf"", Current, Original)","[semet326] ""Maintaining mould, press tool or die equipment"" (""semet326.pdf"", Current, Original)"
