,NOS 1,NOS 2
Pair 151,"('cfaturc8', 'promote equality of opportunity and fair treatment for all union members v2', 'cfaturc8.pdf')","('cfauc8', 'promote equality of opportunity and fair treatment for all union members', 'cfauc8.pdf')"
Pair 152,"('cfaturc9', 'establish and monitor equal opportunities policies and initiatives within the union and workplace v2', 'cfaturc9.pdf')","('cfauc9', 'establish and monitor equal opportunities policies and initiatives within the union and workplace', 'cfauc9.pdf')"
Pair 153,"('cfaturl1', 'promote learning and union initiatives v2', 'cfaturl1.pdf')","('cfaul1', 'promote learning and union initiatives', 'cfaul1.pdf')"
Pair 154,"('cfaturl2', 'develop a learning agenda and strategy for the promotion of union learning v2', 'cfaturl2.pdf')","('cfaul2', 'develop a learning agenda and strategy for the promotion of union learning', 'cfaul2.pdf')"
Pair 155,"('cfaturl3', 'support union members to planning and managing their learning v2', 'cfaturl3.pdf')","('cfaul3', 'support union members in planning and managing their learning', 'cfaul3.pdf')"
Pair 156,"('cfaturl4', 'enable union members to access learning opportunities and resources v2', 'cfaturl4.pdf')","('cfaul4', 'enable union members to access learning opportunities and resources', 'cfaul4.pdf')"
Pair 157,"('cfaturo1', 'maintain the efficiency of local union organisation v2', 'cfaturo1.pdf')","('cfauo1', 'maintain the efficiency of local union organisation', 'cfauo1.pdf')"
Pair 158,"('cfaturo3', 'plan, implement and co-ordinate local union participative structures and processes v2', 'cfaturo3.pdf')","('cfauo3', 'plan, implement and co-ordinate local union participative structures and processes', 'cfauo3.pdf')"
Pair 159,"('cfaturr1', 'support and advise on the representation of individual union member and collective interests v2', 'cfaturr1.pdf')","('cfaur1', 'support and advise on the representation of individual union member and collective interests', 'cfaur1.pdf')"
Pair 160,"('cfaturr10', 'prepare and present cases on behalf of union members v2', 'cfaturr10.pdf')","('cfaur9', 'prepare and present cases on behalf of union members', 'cfaur9.pdf')"
Pair 161,"('cfaturr11', 'provide specialist advocacy services on behalf of union members v2', 'cfaturr11.pdf')","('cfaur10', 'provide specialist advocacy services on behalf of union members', 'cfaur10.pdf')"
Pair 162,"('cfaturr2', 'contribute to the formulation and implementation of the union collective bargaining strategy v2', 'cfaturr2.pdf')","('cfaur2', 'contribute to the formulation and implementation of the union collective bargaining strategy', 'cfaur2.pdf')"
Pair 163,"('cfaturr3', 'develop union recognition rights with employers v2', 'cfaturr3.pdf')","('cfaur3', 'develop union recognition rights with employers', 'cfaur3.pdf')"
Pair 164,"('cfaturr5', 'contribute to the resolution of industrial disputes in the workplace v2', 'cfaturr5.pdf')","('cfaur5', 'contribute to the resolution of industrial disputes in the workplace', 'cfaur5.pdf')"
Pair 165,"('cfaturr9', 'lead workplace negotiations v2', 'cfaturr9.pdf')","('cfaur8', 'lead workplace negotiations', 'cfaur8.pdf')"
Pair 166,"('cfaturs1', 'represent the health and safety interests of those at work v2', 'cfaturs1.pdf')","('cfaus1', 'represent the health and safety interests of those at work', 'cfaus1.pdf')"
Pair 167,"('cfaturs2', 'contribute to the control of risks as a union health and safety representative v2', 'cfaturs2.pdf')","('cfaus2', 'contribute to the control of risks as a union health and safety representative', 'cfaus2.pdf')"
Pair 168,"('cfaturs3', 'contribute to workplace health and safety committees v2', 'cfaturs3.pdf')","('cfaus3', 'contribute to workplace health and safety committees', 'cfaus3.pdf')"
Pair 169,"('cfaturs4', 'present health and safety cases to employers and assist in negotiations in the workplace v2', 'cfaturs4.pdf')","('cfaus4', 'present health and safety cases to employers and assist in negotiations in the workplace', 'cfaus4.pdf')"
Pair 170,"('cfawb7', 'sell your products or services on the internet', 'cfawb7.pdf')","('skspi44', 'sell your products or services on the internet', 'skspi44.pdf')"
Pair 171,"('cfawb8', 'develop a website for your business', 'cfawb8.pdf')","('skspi45', 'develop a website for your business', 'skspi45.pdf')"
Pair 172,"('cfawrv1', 'unit wrv1: make sure your actions contribute to a positive and safe working culture', 'cfawrv1.pdf')","('cfawrv7', 'unit wrv7: resolve and evaluate work-related violent incidents', 'cfawrv7.pdf')"
Pair 173,"('coglata2-09', 'clean and tidy the workplace after scientific or technical learning activities', 'clean-and-tidy-the-workplace-after-scientific-or-technical-learning-activities-coglata2-09.pdf')","('coglata2-09', 'clean and tidy the workplace after scientific or technical learning activities', 'coglata2-09.pdf')"
Pair 174,"('cogdo26l', 'participate in prepare for maintenance in downstream operations legacy', 'cogdo26.pdf')","('cogdo9l', 'prepare for maintenance in downstream operations legacy', 'cogdo9.pdf')"
Pair 175,"('cogdo7l', 'shutting down equipment in downstream operations legacy', 'cogdo7.pdf')","('cogdo25', 'participate in shutting down equipment in downstream operations', 'participate-in-shutting-down-equipment-in-downstream-operations-cogdo25.pdf')"
Pair 176,"('cogesa1.1', 'create the complex specification for explosive substances and/or articles', 'cogesa1.1.pdf')","('cogesa1.2 ', 'create the specification for an explosive substance or article', 'cogesa1.2 .pdf')"
Pair 177,"('cogesa1.18 ', 'create the specification for the design of complex explosive articles', 'cogesa1.18 .pdf')","('cogesa1.19 ', 'create the specification for the design of an explosive article', 'cogesa1.19 .pdf')"
Pair 178,"('cogesa1.24', 'build prototype(s) of selected design(s) for complex explosive articles', 'cogesa1.24.pdf')","('cogesa1.25 ', 'build prototype(s) of selected design(s) for explosive articles', 'cogesa1.25 .pdf')"
Pair 179,"('cogesa10.14', 'prepare and position explosive effects', 'cogesa10.14.pdf')","('cogesa10.15 ', 'contribute to the preparation and positioning of explosive effects', 'cogesa10.15 .pdf')"
Pair 180,"('cogesa11.19', 'carry out post-disposal tasks for explosive substances and/or articles', 'cogesa11.19.pdf')","('cogesa3.19', 'carry out post-trial or post-test tasks relating to explosive substances and/or articles', 'cogesa3.19.pdf')"
Pair 181,"('cogesa11.2', 'determine the existence of a suitable disposal procedure for explosive substances and/or articles', 'cogesa11.2.pdf')","('cogesa3.2', 'determine the existence of a suitable trial or test procedure for explosive substances and/or articles', 'cogesa3.2.pdf')"
Pair 182,"('cogesa11.5', 'plan the disposal of explosive substances and/or articles (complex)', 'cogesa11.5.pdf')","('cogesa11.6', 'plan the disposal of explosive substances and/or articles (non-complex)', 'cogesa11.6.pdf')"
Pair 183,"('cogesa11.8 ', 'carry out pre-disposal tasks for explosive substances and/or articles', 'cogesa11.8 .pdf')","('cogesa3.12', 'carry out pre-trial or pre-test tasks relating to explosive substances and/or articles', 'cogesa3.12.pdf')"
Pair 184,"('cogesa12.10', 'remove the threat of munitions', 'cogesa12.10 .pdf')","('cogesa12.10', 'remove the threat of munitions', 'cogesa12.10.pdf')"
Pair 185,"('cogesa12.20', 'evacuate casualties', 'cogesa12.20.pdf')","('cogesa12.21', 'evacuate casualties', 'cogesa12.21.pdf')"
Pair 186,"('cogesa12.4', 'provide advice on munition clearance and search related matters', 'cogesa12.4.pdf')","('cogesa12.5a', 'provide advice on specified targets search matters', 'cogesa12.5a.pdf')"
Pair 187,"('cogesa13.8', 'conduct an assessment of the risks in the workplace', 'cogesa13.8.pdf')","('cogpio3.13', 'conduct an assessment of risks in the workplace in processing industries operations', 'cogpio3.13.pdf')"
Pair 188,"('cogesa2.13 ', 'assess the suitability of explosives facilities', 'cogesa2.13 .pdf')","('cogesa3.2.8a', 'assess the suitability of explosives facilities', 'cogesa3.2.8a.pdf')"
Pair 189,"('cogesa2.20', 'contribute to the investigation of explosives safety incidents', 'cogesa2.20.pdf')","('cogesa3.2.12a', 'contribute to the investigation of explosives safety incidents', 'cogesa3.2.12a.pdf')"
Pair 190,"('cogesa2.21', 'assess explosives licence applications', 'cogesa2.21.pdf')","('cogesa2.22', 'prepare and submit an explosives licence application', 'cogesa2.22.pdf')"
Pair 191,"('cogesa2.3 ', 'make recommendations for the classification of explosive substances and/or articles', 'cogesa2.3 .pdf')","('cogesa3.2.2a', 'make recommendations for the classification of explosive substances and/or articles', 'cogesa3.2.2a.pdf')"
Pair 192,"('cogesa2.5', 'make recommendations on the factors affecting the safety of specific explosive substances and/or articles', 'cogesa2.5.pdf')","('cogesa3.2.3a', 'make recommendations on the factors affecting the safety of specific explosive substances and/or articles', 'cogesa3.2.3a.pdf')"
Pair 193,"('cogesa2.7', 'review safety control measures for specific explosive substances and/or articles', 'cogesa2.7.pdf')","('cogesa3.2.4a', 'review safety control measures for specific explosive substances and/or articles', 'cogesa3.2.4a.pdf')"
Pair 194,"('cogesa2.9', 'assess an organization’s explosives safety management system', 'cogesa2.9.pdf')","('cogesa3.2.5a', 'assess an organisation’s explosives safety management system', 'cogesa3.2.5a.pdf')"
Pair 195,"('cogesa3.10 ', 'manage the trial of explosive substances and/or articles', 'cogesa3.10 .pdf')","('cogesa3.11', 'manage the test of explosive substances and/or articles', 'cogesa3.11.pdf')"
Pair 196,"('cogesa3.14 ', 'carry out trials of explosive substances and/or articles', 'cogesa3.14 .pdf')","('cogesa3.15', 'carry out tests of explosive substances and/or articles', 'cogesa3.15.pdf')"
Pair 197,"('cogesa3.17 ', 'evaluate the results of trials of explosive substances and/or articles', 'cogesa3.17 .pdf')","('cogesa3.18', 'evaluate the results of tests of explosive substances and/or articles', 'cogesa3.18.pdf')"
Pair 198,"('cogesa4.10', 'solve explosives process problems', 'cogesa4.10.pdf')","('cogesa4.3', 'resolve explosives operational problems', 'cogesa4.3.pdf')"
Pair 199,"('cogesa7.5', 'supervise the maintenance of storage conditions for explosive substances and/or articles', 'cogesa7.5.pdf')","('cogesa7.6', 'maintain the quality of explosive substances and/or articles in storage', 'cogesa7.6.pdf')"
Pair 200,"('cogesa8.5', 'supervise the loading of the vehicle with explosive substances and articles by others', 'cogesa8.5.pdf')","('cogesa8.7 ', 'supervise the unloading of explosive substances and articles from the vehicle by others', 'cogesa8.7 .pdf')"
Pair 201,"('cogfpso10', 'plan and prepare for fpso/fsu shuttle tanker operations (passive weather vaning)', 'cogfpso10.pdf')","('cogfpso11', 'plan and prepare for fpso/fsu shuttle tanker operations (active weather vaning)', 'cogfpso11.pdf')"
Pair 202,"('cogfpso16', 'maintain a state of readiness for fpso/fsu emergency and critical situations', 'cogfpso16.pdf')","('cogfpso17', 'recognise an abnormal event for fpso/fsu', 'cogfpso17.pdf')"
Pair 203,"('cogfpso27', 'contribute to shutdown of the cargo transfer operations', 'cogfpso27.pdf')","('cogfpso32', 'contribute to the shutdown of the cargo offloading operations with shuttle tanker', 'cogfpso32.pdf')"
Pair 204,"('cogfpso33', 'contribute to a fpso/fsu critical situation', 'cogfpso33.pdf')","('cogfpso34', 'respond to fpso/fsu emergencies', 'cogfpso34.pdf')"
Pair 205,"('cogjo16', 'carry out emergency operations in jetty operations', 'cogjo16.pdf')","('cogjo7', 'contribute to emergency operations in jetty operations', 'cogjo7.pdf')"
Pair 206,"('coglata14', 'prepare scientific or technical samples for testing activities', 'coglata14.pdf')","('coglata14', 'prepare scientific or technical samples for testing activities', 'prepare-scientific-or-technical-samples-for-testing-activities-coglata14.pdf')"
Pair 207,"('coglata2-01', 'follow health and safety procedures for scientific or technical activities', 'coglata2-01.pdf')","('coglata2-01', 'follow health and safety procedures for scientific or technical activities', 'follow-health-and-safety-procedures-for-scientific-or-technical-activities-coglata2-01.pdf')"
Pair 208,"('coglata2-02', 'maintain effective and efficient working relationships for scientific or technical activities', 'coglata2-02.pdf')","('coglata2-02', 'maintain effective and efficient working relationships for scientific or technical activities', 'maintain-effective-and-efficient-working-relationships-for-scientific-or-technical-activities-coglata2-02.pdf')"
Pair 209,"('coglata2-03', 'use information recording systems for scientific or technical activities', 'coglata2-03.pdf')","('coglata2-03', 'use information recording systems for scientific or technical activities', 'use-information-recording-systems-for-scientific-or-technical-activities-coglata2-03.pdf')"
Pair 210,"('coglata2-05', 'maintain stocks of resources, equipment and consumables for scientific or technical use', 'coglata2-05.pdf')","('coglata2-05', 'maintain stocks of resources, equipment and consumables for scientific or technical use', 'maintain-stocks-of-resources--equipment-and-consumables-for-scientific-or-technical-use-coglata2-05.pdf')"
Pair 211,"('coglata2-06', 'prepare compounds and solutions for scientific or technical use', 'coglata2-06.pdf')","('coglata2-06', 'prepare compounds and solutions for scientific or technical use', 'prepare-compounds-and-solutions-for-scientific-or-technical-use-coglata2-06.pdf')"
Pair 212,"('coglata2-07', 'demonstrate scientific or technical methods, techniques and skills to others in the workplace', 'coglata2-07.pdf')","('coglata2-07', 'demonstrate scientific or technical methods, techniques and skills to others in the workplace', 'demonstrate-scientific-or-technical-methods--techniques-and-skills-to-others-in-the-workplace-coglata2-07.pdf')"
