,Top skills extracted,Corresponding top clusters,Suite size
Qualified person medical products,Marketing; Compliance; Management; Manufacturing process; Supply chain; Regulatory compliance; Cost; Packaging; Iso; Storage; Coordinate; Training; Supply chain management; Instruction; Parameter; Audit; Clinical practice; Process manufacturing; Product recall; Product defect,"Manufacturing methods; Audit and compliance; Marketing strategy and branding; Hr management; Business management; Supply chain management; Employee development; Procurement; Driving and automotive maintenance; Health, safety and environment; Clinical research; Shipping and warehouse operations; Claims administration; Office administration; Languages; Data engineering; Software development; Retail management; Biotechnology manufacturing; Accounting and financial management",7
Offshore s1971 elected safety representatives,Management; Installation; Schedule; Inspection; Promote; Training; Instruction; Storage; Housekeeping; Information systems; Risk assessment; Attend meeting; Give constructive feedback; Interview technique; English; Quality audit; Environmental issue; Quality auditing; Audit; Auditing,"Business management; Audit and compliance; Employee development; It support; Electrical work; Driving and automotive maintenance; Marketing strategy and branding; Claims administration; Shipping and warehouse operations; Social work and caregiving; It security standards; Event planning; Recruitment; Languages; Health, safety and environment",7
Metal processing and allied operations suite 2,Environmental regulation; Instruction; Forging; Ingot; Environmental issue; Machinery; Fault; Consumables; Packaging; Housekeeping; Panel; Power supply; Furnace; Heat metal; Risk assessment; Dispatch; Schedule; Transport,"Health, safety and environment; Claims administration; Driving and automotive maintenance; Legacy mainframe; Mainframe programming; Languages; Accounting admin; Manufacturing methods; Social work and caregiving; Construction; Electronics; Heating, ventilation and plumbing; Welding and machining; Audit and compliance; Office administration; Electrical work",7
Mechanical fire protection,Management; Installation; Building control; Instruction; Test equipment; Survey; Site survey; Cost; System design; Repair; Schedule; Panel; Instruct; Capture; Sketch; Collection; Quotation; Catalogue; Pricing; Advise customer,Construction engineering; Business management; It support; Electronics; Construction; Claims administration; Procurement; Mainframe programming; Archiving and libraries; Languages; Driving and automotive maintenance; Electrical work; Teaching; Civil engineering; Graphic and digital design; Financial asset management; General sales; Accounting and financial management; Design and process engineering; Employee development,7
Asbestos surveying and analysis,Synthesis; Survey; Cost; Consultant; Risk assessment; Schedule; Management; Promote; Information systems; Factor analysis; Alteration; Quotation; Projection; Calculation; Payment schedule; Tender offer; Resourcing; Audit; Risk management; Workplace health and safety,"Histology; Procurement; Civil engineering; Audit and compliance; Recruitment; Health, safety and environment; Archiving and libraries; Electrical work; Languages; Marketing strategy and branding; It security standards; Driving and automotive maintenance; Construction engineering; Marketing research; Construction; Animation; Accounting and financial management; Accounting admin; Financial asset management; Employee development",7
Outdoor programmes,Training; Education; Welfare; Active listening; Listening; Parameter; Performance review; Leadership style; Performance appraisal; Vision; Food; History; Pool; Risk assessment; Football; Recreation activity; Geomorphology; Promote; Physical geography; Soil type,"Employee development; Teaching; Environmental planning; Hr management; Low vision support; Languages; Extracurricular activities and childcare; Data engineering; Recruitment; Multimedia production; Business management; Legacy mainframe; Audit and compliance; Developmental biology; Marketing strategy and branding; Driving and automotive maintenance; Health, safety and environment; Archiving and libraries; Financial asset management",7
Providing advice on securities or derivatives in the retail market,Derivative; Financial instrument; Compliance; Transaction; Prospective client; Anti money laundering; Tolerance; Sales; Warning sign; Investment strategy; Schedule,Securities trading; Accounting and financial management; Hr management; General sales; Shipping and warehouse operations; Payroll and tax accounting; Employee development; Premises security; Financial asset management; Electrical work,6
Scientific quality operations,Energetic; Manufacturing process; Management; Inspection; Compliance; Parameter; Instruction; Record keeping; Storage; Audit; Process control; Comment; Statistical process control; Database; Timeline; Report writing; Iso standard; Aseptic; Patent; Iso,"Manufacturing methods; General sales; Driving and automotive maintenance; Business management; Office administration; Hr management; Audit and compliance; It security standards; Languages; Data engineering; Claims administration; Marketing research; Shipping and warehouse operations; Employee development; Journalism and writing; Mainframe programming; Graphic and digital design; Health, safety and environment; Biotechnology manufacturing; Electrical work",6
Activity leadership l2 2002,Numeracy; Outdoor activity; Scheme; Comment; Simulation; National curriculum; Football; Interpersonal skill; Parameter; Cost; Intranet; Body language; First aid; Ethical code; Instruction; Environmental protection; Record keeping; Instructing; Welfare; Training,"Extracurricular activities and childcare; Hr management; Teaching; Marketing research; Journalism and writing; Electronics; Mental health; Health, safety and environment; Data engineering; Environmental planning; Procurement; Networks; Critical care; Claims administration; Office administration; Employee development; Recruitment; Developmental biology; Marketing strategy and branding; Web content management",6
Addressing modern slavery,Exploitation; Informed consent; Law enforcement; Management; Risk management; Trauma; Need assessment; Permitting; History; Promote; Welfare,"Environmental planning; Phlebotomy; Legal services; Financial asset management; Surgery; Social work and caregiving; Health, safety and environment; Languages; Marketing strategy and branding; Hr management",6
